updates: 10, mean reward: 33.4
updates: 20, mean reward: 22.2
updates: 30, mean reward: 41.4
updates: 40, mean reward: 53.6
updates: 50, mean reward: 81.4
updates: 60, mean reward: 88.0
updates: 70, mean reward: 124.9
updates: 80, mean reward: 169.7
updates: 90, mean reward: 186.2
updates: 100, mean reward: 181.8
updates: 110, mean reward: 168.8
updates: 120, mean reward: 174.4
updates: 130, mean reward: 179.4
updates: 140, mean reward: 179.0
updates: 150, mean reward: 184.9
updates: 160, mean reward: 188.5
updates: 170, mean reward: 192.6
updates: 180, mean reward: 197.2
updates: 190, mean reward: 200.0
updates: 200, mean reward: 200.0
updates: 210, mean reward: 200.0
updates: 220, mean reward: 200.0
updates: 230, mean reward: 200.0
updates: 240, mean reward: 200.0
updates: 250, mean reward: 200.0
updates: 260, mean reward: 200.0
updates: 270, mean reward: 200.0
updates: 280, mean reward: 200.0
updates: 290, mean reward: 200.0
updates: 300, mean reward: 200.0
updates: 310, mean reward: 200.0
updates: 320, mean reward: 200.0
updates: 330, mean reward: 200.0
updates: 340, mean reward: 200.0
updates: 350, mean reward: 200.0
updates: 360, mean reward: 200.0
updates: 370, mean reward: 200.0
updates: 380, mean reward: 200.0
updates: 390, mean reward: 200.0
updates: 400, mean reward: 200.0
updates: 410, mean reward: 200.0
updates: 420, mean reward: 200.0
updates: 430, mean reward: 200.0
updates: 440, mean reward: 200.0
updates: 450, mean reward: 200.0
updates: 460, mean reward: 196.9
updates: 470, mean reward: 191.2
updates: 480, mean reward: 177.7
updates: 490, mean reward: 170.0
updates: 500, mean reward: 158.6
updates: 510, mean reward: 144.5
updates: 520, mean reward: 141.6
updates: 530, mean reward: 146.0
updates: 540, mean reward: 145.6
updates: 550, mean reward: 146.2
updates: 560, mean reward: 158.9
updates: 570, mean reward: 163.3
updates: 580, mean reward: 162.2
updates: 590, mean reward: 159.5
updates: 600, mean reward: 183.4
updates: 610, mean reward: 186.9
updates: 620, mean reward: 189.2
updates: 630, mean reward: 189.2
updates: 640, mean reward: 200.0
updates: 650, mean reward: 200.0
updates: 660, mean reward: 200.0
updates: 670, mean reward: 200.0
updates: 680, mean reward: 200.0
updates: 690, mean reward: 200.0
updates: 700, mean reward: 200.0
updates: 710, mean reward: 200.0
updates: 720, mean reward: 200.0
updates: 730, mean reward: 200.0
updates: 740, mean reward: 200.0
updates: 750, mean reward: 200.0
updates: 760, mean reward: 200.0
updates: 770, mean reward: 200.0
updates: 780, mean reward: 200.0
updates: 790, mean reward: 200.0
updates: 800, mean reward: 200.0
updates: 810, mean reward: 200.0
updates: 820, mean reward: 200.0
updates: 830, mean reward: 200.0
updates: 840, mean reward: 200.0
updates: 850, mean reward: 200.0
updates: 860, mean reward: 200.0
updates: 870, mean reward: 200.0
updates: 880, mean reward: 200.0
updates: 890, mean reward: 200.0
updates: 900, mean reward: 200.0
updates: 910, mean reward: 200.0
updates: 920, mean reward: 200.0
updates: 930, mean reward: 194.0
updates: 940, mean reward: 189.3
updates: 950, mean reward: 164.7
updates: 960, mean reward: 158.1
updates: 970, mean reward: 162.7
updates: 980, mean reward: 156.9
updates: 990, mean reward: 157.3
