updates: 10, mean reward: 31.1
updates: 20, mean reward: 49.0
updates: 30, mean reward: 47.7
updates: 40, mean reward: 53.5
updates: 50, mean reward: 78.2
updates: 60, mean reward: 135.0
updates: 70, mean reward: 134.4
updates: 80, mean reward: 108.4
updates: 90, mean reward: 70.0
updates: 100, mean reward: 66.5
updates: 110, mean reward: 98.4
updates: 120, mean reward: 92.5
updates: 130, mean reward: 82.9
updates: 140, mean reward: 87.4
updates: 150, mean reward: 101.6
updates: 160, mean reward: 113.1
updates: 170, mean reward: 125.9
updates: 180, mean reward: 136.3
updates: 190, mean reward: 143.6
updates: 200, mean reward: 123.4
updates: 210, mean reward: 140.5
updates: 220, mean reward: 123.9
updates: 230, mean reward: 118.0
updates: 240, mean reward: 125.2
updates: 250, mean reward: 143.9
updates: 260, mean reward: 173.1
updates: 270, mean reward: 167.7
updates: 280, mean reward: 147.4
updates: 290, mean reward: 152.7
updates: 300, mean reward: 163.5
updates: 310, mean reward: 146.9
updates: 320, mean reward: 136.4
updates: 330, mean reward: 139.9
updates: 340, mean reward: 142.6
updates: 350, mean reward: 142.7
updates: 360, mean reward: 143.4
updates: 370, mean reward: 164.7
updates: 380, mean reward: 165.8
updates: 390, mean reward: 163.8
updates: 400, mean reward: 175.3
updates: 410, mean reward: 184.3
updates: 420, mean reward: 187.4
updates: 430, mean reward: 188.6
updates: 440, mean reward: 195.5
updates: 450, mean reward: 185.6
updates: 460, mean reward: 186.2
updates: 470, mean reward: 192.6
updates: 480, mean reward: 186.3
updates: 490, mean reward: 186.2
updates: 500, mean reward: 186.1
updates: 510, mean reward: 186.3
updates: 520, mean reward: 190.2
updates: 530, mean reward: 191.2
updates: 540, mean reward: 170.2
updates: 550, mean reward: 164.5
updates: 560, mean reward: 155.9
updates: 570, mean reward: 129.2
updates: 580, mean reward: 119.5
updates: 590, mean reward: 85.6
updates: 600, mean reward: 66.4
updates: 610, mean reward: 73.1
updates: 620, mean reward: 81.1
updates: 630, mean reward: 68.3
updates: 640, mean reward: 68.1
updates: 650, mean reward: 63.7
updates: 660, mean reward: 58.0
updates: 670, mean reward: 42.2
updates: 680, mean reward: 26.0
updates: 690, mean reward: 22.4
updates: 700, mean reward: 22.8
updates: 710, mean reward: 22.0
updates: 720, mean reward: 25.5
updates: 730, mean reward: 24.0
updates: 740, mean reward: 21.1
updates: 750, mean reward: 17.2
updates: 760, mean reward: 17.1
updates: 770, mean reward: 15.2
updates: 780, mean reward: 13.8
updates: 790, mean reward: 11.7
updates: 800, mean reward: 13.8
updates: 810, mean reward: 13.3
updates: 820, mean reward: 14.1
updates: 830, mean reward: 12.6
updates: 840, mean reward: 14.5
updates: 850, mean reward: 12.0
updates: 860, mean reward: 11.0
updates: 870, mean reward: 17.9
updates: 880, mean reward: 11.8
updates: 890, mean reward: 11.0
updates: 900, mean reward: 14.5
updates: 910, mean reward: 12.8
updates: 920, mean reward: 11.5
updates: 930, mean reward: 12.3
updates: 940, mean reward: 10.9
updates: 950, mean reward: 11.0
updates: 960, mean reward: 12.0
updates: 970, mean reward: 10.8
updates: 980, mean reward: 11.7
updates: 990, mean reward: 10.1
